year,lga_name,charge_status_name,incident_count
2020,Mildura,No charges laid,926
2020,Mildura,Unsolved,1760
2020,Mitchell,Charges laid,1451
2020,Mitchell,No charges laid,567
2020,Mitchell,Unsolved,1102
2020,Moira,Charges laid,946
2020,Moira,No charges laid,217
2020,Moira,Unsolved,672
2020,Monash,Charges laid,2823
2020,Monash,No charges laid,1098
2020,Monash,Unsolved,5656
2020,Moonee Valley,Charges laid,2158
2020,Moonee Valley,No charges laid,947
2020,Moonee Valley,Unsolved,3614
2020,Moorabool,Charges laid,640
2020,Moorabool,No charges laid,173
2020,Moorabool,Unsolved,828
2020,Moreland,Charges laid,3433
2020,Moreland,No charges laid,1295
2020,Moreland,Unsolved,6372
2020,Mornington Peninsula,Charges laid,3282
2020,Mornington Peninsula,No charges laid,1380
2020,Mornington Peninsula,Unsolved,3958
2020,Mount Alexander,Charges laid,421
2020,Mount Alexander,No charges laid,108
2020,Mount Alexander,Unsolved,365
2020,Moyne,Charges laid,240
2020,Moyne,No charges laid,89
2020,Moyne,Unsolved,177
2020,Murrindindi,Charges laid,198
2020,Murrindindi,No charges laid,143
2020,Murrindindi,Unsolved,257
2020,Nillumbik,Charges laid,611
2020,Nillumbik,No charges laid,279
2020,Nillumbik,Unsolved,801
2020,Northern Grampians,Charges laid,383
2020,Northern Grampians,No charges laid,135
2020,Northern Grampians,Unsolved,217
2020,Port Phillip,Charges laid,3233
2020,Port Phillip,No charges laid,1121
2020,Port Phillip,Unsolved,5603
2020,Pyrenees,Charges laid,149
2020,Pyrenees,No charges laid,32
2020,Pyrenees,Unsolved,169
2020,Queenscliffe,Charges laid,19
2020,Queenscliffe,No charges laid,9
2020,Queenscliffe,Unsolved,73
2020,South Gippsland,Charges laid,675
2020,South Gippsland,No charges laid,180
2020,South Gippsland,Unsolved,504
2020,Southern Grampians,Charges laid,456
2020,Southern Grampians,No charges laid,144
2020,Southern Grampians,Unsolved,287
2020,Stonnington,Charges laid,2813
2020,Stonnington,No charges laid,1110
2020,Stonnington,Unsolved,5539
2020,Strathbogie,Charges laid,171
2020,Strathbogie,No charges laid,86
2020,Strathbogie,Unsolved,218
2020,Surf Coast,Charges laid,372
2020,Surf Coast,No charges laid,155
2020,Surf Coast,Unsolved,516
2020,Swan Hill,Charges laid,975
2020,Swan Hill,No charges laid,332
2020,Swan Hill,Unsolved,463
2020,Towong,Charges laid,58
2020,Towong,No charges laid,24
2020,Towong,Unsolved,73
2020,Wangaratta,Charges laid,865
2020,Wangaratta,No charges laid,364
2020,Wangaratta,Unsolved,519
2020,Warrnambool,Charges laid,1293
2020,Warrnambool,No charges laid,421
2020,Warrnambool,Unsolved,753
2020,Wellington,Charges laid,1586
2020,Wellington,No charges laid,766
2020,Wellington,Unsolved,1033
2020,West Wimmera,Charges laid,74
2020,West Wimmera,No charges laid,21
2020,West Wimmera,Unsolved,48
2020,Whitehorse,Charges laid,2300
2020,Whitehorse,No charges laid,739
2020,Whitehorse,Unsolved,4315
2020,Whittlesea,Charges laid,4402
2020,Whittlesea,No charges laid,1935
2020,Whittlesea,Unsolved,5911
2020,Wodonga,Charges laid,1373
2020,Wodonga,No charges laid,316
2020,Wodonga,Unsolved,1139
2020,Wyndham,Charges laid,5479
2020,Wyndham,No charges laid,1607
2020,Wyndham,Unsolved,6785
2020,Yarra,Charges laid,3437
2020,Yarra,No charges laid,1198
2020,Yarra,Unsolved,6793
2020,Yarra Ranges,Charges laid,2423
2020,Yarra Ranges,No charges laid,969
2020,Yarra Ranges,Unsolved,2795
2020,Yarriambiack,Charges laid,167
2020,Yarriambiack,No charges laid,48
2020,Yarriambiack,Unsolved,103
2019,Alpine,Charges laid,228
2019,Alpine,No charges laid,55
2019,Alpine,Unsolved,116
2019,Ararat,Charges laid,520
2019,Ararat,No charges laid,188
2019,Ararat,Unsolved,204
2019,Ballarat,Charges laid,3486
2019,Ballarat,No charges laid,745
2019,Ballarat,Unsolved,3898
2019,Banyule,Charges laid,3331
2019,Banyule,No charges laid,659
2019,Banyule,Unsolved,3016
2019,Bass Coast,Charges laid,792
2019,Bass Coast,No charges laid,318
2019,Bass Coast,Unsolved,672
2019,Baw Baw,Charges laid,1558
2019,Baw Baw,No charges laid,452
2019,Baw Baw,Unsolved,1169
2019,Bayside,Charges laid,952
2019,Bayside,No charges laid,544
2019,Bayside,Unsolved,2110
2019,Benalla,Charges laid,443
2019,Benalla,No charges laid,171
2019,Benalla,Unsolved,263
2019,Boroondara,Charges laid,1514
2019,Boroondara,No charges laid,532
2019,Boroondara,Unsolved,3524
2019,Brimbank,Charges laid,6488
2019,Brimbank,No charges laid,1444
2019,Brimbank,Unsolved,6729
2019,Buloke,Charges laid,62
2019,Buloke,No charges laid,55
2019,Buloke,Unsolved,97
2019,Campaspe,Charges laid,1265
2019,Campaspe,No charges laid,347
2019,Campaspe,Unsolved,1307
2019,Cardinia,Charges laid,1818
2019,Cardinia,No charges laid,789
2019,Cardinia,Unsolved,2090
2019,Casey,Charges laid,5871
2019,Casey,No charges laid,2874
2019,Casey,Unsolved,7472
2019,Central Goldfields,Charges laid,482
2019,Central Goldfields,No charges laid,196
2019,Central Goldfields,Unsolved,239
2019,Colac-Otway,Charges laid,607
2019,Colac-Otway,No charges laid,233
2019,Colac-Otway,Unsolved,480
2019,Corangamite,Charges laid,251
2019,Corangamite,No charges laid,62
2019,Corangamite,Unsolved,174
2019,Darebin,Charges laid,3999
2019,Darebin,No charges laid,1074
2019,Darebin,Unsolved,6172
2019,East Gippsland,Charges laid,1655
2019,East Gippsland,No charges laid,741
2019,East Gippsland,Unsolved,797
2019,Frankston,Charges laid,5477
2019,Frankston,No charges laid,1514
2019,Frankston,Unsolved,4165
2019,Gannawarra,Charges laid,315
2019,Gannawarra,No charges laid,107
2019,Gannawarra,Unsolved,159
2019,Glen Eira,Charges laid,1314
2019,Glen Eira,No charges laid,734
2019,Glen Eira,Unsolved,2844
2019,Glenelg,Charges laid,479
2019,Glenelg,No charges laid,205
