Year,Year ending,Local Government Area,Location Division,Location Subdivision,Location Group,Incidents Recorded
2022,March,Baw Baw,2 Community,25 Other Transport,251 Private Car,5
2022,March,Baw Baw,2 Community,25 Other Transport,252 Airfield,2
2022,March,Baw Baw,2 Community,25 Other Transport,255 Carpark (Single Level),66
2022,March,Baw Baw,2 Community,25 Other Transport,256 Carpark (Multi Level),2
2022,March,Baw Baw,2 Community,25 Other Transport,257 Other Transport Type/Area,7
2022,March,Baw Baw,2 Community,26 Justice,261 Police Station,18
2022,March,Baw Baw,2 Community,26 Justice,262 Court,1
2022,March,Baw Baw,2 Community,26 Justice,264 Youth Training Centre,1
2022,March,Baw Baw,2 Community,26 Justice,265 Other Justice Facility,1
2022,March,Baw Baw,2 Community,27 Open Space,271 Parkland/Reserve,62
