,Year,Local Government Area,Charge Status,Incidents Recorded
586,2020,Loddon,No charges laid,40
587,2020,Loddon,Unsolved,152
588,2020,Macedon Ranges,Charges laid,774
589,2020,Macedon Ranges,No charges laid,225
590,2020,Macedon Ranges,Unsolved,725
591,2020,Manningham,Charges laid,1117
592,2020,Manningham,No charges laid,474
593,2020,Manningham,Unsolved,2150
594,2020,Mansfield,Charges laid,158
595,2020,Mansfield,No charges laid,58
596,2020,Mansfield,Unsolved,121
597,2020,Maribyrnong,Charges laid,2505
598,2020,Maribyrnong,No charges laid,656
599,2020,Maribyrnong,Unsolved,4144
600,2020,Maroondah,Charges laid,2618
601,2020,Maroondah,No charges laid,880
602,2020,Maroondah,Unsolved,2422
603,2020,Melbourne,Charges laid,9933
604,2020,Melbourne,No charges laid,4391
605,2020,Melbourne,Unsolved,12577
606,2020,Melton,Charges laid,3605
607,2020,Melton,No charges laid,966
608,2020,Melton,Unsolved,4749
609,2020,Mildura,Charges laid,2859
610,2020,Mildura,No charges laid,926
611,2020,Mildura,Unsolved,1760
612,2020,Mitchell,Charges laid,1451
613,2020,Mitchell,No charges laid,567
614,2020,Mitchell,Unsolved,1102
615,2020,Moira,Charges laid,946
616,2020,Moira,No charges laid,217
617,2020,Moira,Unsolved,672
618,2020,Monash,Charges laid,2823
619,2020,Monash,No charges laid,1098
620,2020,Monash,Unsolved,5656
621,2020,Moonee Valley,Charges laid,2158
622,2020,Moonee Valley,No charges laid,947
623,2020,Moonee Valley,Unsolved,3614
624,2020,Moorabool,Charges laid,640
625,2020,Moorabool,No charges laid,173
626,2020,Moorabool,Unsolved,828
627,2020,Moreland,Charges laid,3433
628,2020,Moreland,No charges laid,1295
629,2020,Moreland,Unsolved,6372
630,2020,Mornington Peninsula,Charges laid,3282
631,2020,Mornington Peninsula,No charges laid,1380
632,2020,Mornington Peninsula,Unsolved,3958
633,2020,Mount Alexander,Charges laid,421
634,2020,Mount Alexander,No charges laid,108
635,2020,Mount Alexander,Unsolved,365
636,2020,Moyne,Charges laid,240
637,2020,Moyne,No charges laid,89
638,2020,Moyne,Unsolved,177
639,2020,Murrindindi,Charges laid,198
640,2020,Murrindindi,No charges laid,143
641,2020,Murrindindi,Unsolved,257
642,2020,Nillumbik,Charges laid,611
643,2020,Nillumbik,No charges laid,279
644,2020,Nillumbik,Unsolved,801
645,2020,Northern Grampians,Charges laid,383
646,2020,Northern Grampians,No charges laid,135
647,2020,Northern Grampians,Unsolved,217
648,2020,Port Phillip,Charges laid,3233
649,2020,Port Phillip,No charges laid,1121
650,2020,Port Phillip,Unsolved,5603
651,2020,Pyrenees,Charges laid,149
652,2020,Pyrenees,No charges laid,32
653,2020,Pyrenees,Unsolved,169
654,2020,Queenscliffe,Charges laid,19
655,2020,Queenscliffe,No charges laid,9
656,2020,Queenscliffe,Unsolved,73
657,2020,South Gippsland,Charges laid,675
658,2020,South Gippsland,No charges laid,180
659,2020,South Gippsland,Unsolved,504
660,2020,Southern Grampians,Charges laid,456
661,2020,Southern Grampians,No charges laid,144
662,2020,Southern Grampians,Unsolved,287
663,2020,Stonnington,Charges laid,2813
664,2020,Stonnington,No charges laid,1110
665,2020,Stonnington,Unsolved,5539
666,2020,Strathbogie,Charges laid,171
667,2020,Strathbogie,No charges laid,86
668,2020,Strathbogie,Unsolved,218
669,2020,Surf Coast,Charges laid,372
670,2020,Surf Coast,No charges laid,155
671,2020,Surf Coast,Unsolved,516
672,2020,Swan Hill,Charges laid,975
673,2020,Swan Hill,No charges laid,332
674,2020,Swan Hill,Unsolved,463
675,2020,Towong,Charges laid,58
676,2020,Towong,No charges laid,24
677,2020,Towong,Unsolved,73
678,2020,Wangaratta,Charges laid,865
679,2020,Wangaratta,No charges laid,364
680,2020,Wangaratta,Unsolved,519
681,2020,Warrnambool,Charges laid,1293
682,2020,Warrnambool,No charges laid,421
683,2020,Warrnambool,Unsolved,753
684,2020,Wellington,Charges laid,1586
685,2020,Wellington,No charges laid,766
686,2020,Wellington,Unsolved,1033
687,2020,West Wimmera,Charges laid,74
688,2020,West Wimmera,No charges laid,21
689,2020,West Wimmera,Unsolved,48
690,2020,Whitehorse,Charges laid,2300
691,2020,Whitehorse,No charges laid,739
692,2020,Whitehorse,Unsolved,4315
693,2020,Whittlesea,Charges laid,4402
694,2020,Whittlesea,No charges laid,1935
695,2020,Whittlesea,Unsolved,5911
696,2020,Wodonga,Charges laid,1373
697,2020,Wodonga,No charges laid,316
